mileage,make,model,fuel,gear,offerType,price,hp,year,price_log,car_age,pred,residual,abs_error
16808,Volkswagen,T6 Transporter,Gasoline,Manual,Used,24900,"150,0",2019,"10,1226230824528",3,"9,974713164715045","0,14790991773775453","0,14790991773775453"
11400,Volkswagen,up!,Gasoline,Manual,Used,7950,"60,0",2017,"8,980927207648378",5,"9,05721476373248","-0,07628755608410209","0,07628755608410209"
21081,Opel,Mokka X,Gasoline,Automatic,Used,16990,"140,0",2019,"9,740380214665977",3,"9,891804541182237","-0,1514243265162598","0,1514243265162598"
116441,Renault,Megane,Gasoline,Manual,Used,4950,"131,0",2011,"8,507142855562735",11,"8,686080739247565","-0,17893788368482966","0,17893788368482966"
119155,Ford,C-Max,Gasoline,Manual,Used,9945,"101,0",2016,"9,204825191288073",6,"8,93688186400188","0,2679433272861935","0,2679433272861935"
167418,Opel,Astra,Diesel,Automatic,Used,6500,"160,0",2011,"8,779557455883728",11,"8,998042237794397","-0,21848478191066967","0,21848478191066967"
97869,Ford,Kuga,Diesel,Manual,Used,12480,"140,0",2014,"9,43188264192342",8,"9,399180588308631","0,03270205361478773","0,03270205361478773"
130000,Ford,Focus,Diesel,Manual,Used,8999,"120,0",2017,"9,104868739033948",5,"9,125048125615793","-0,020179386581844483","0,020179386581844483"
110111,Skoda,Kodiaq,Gasoline,Manual,Used,20980,"150,0",2017,"9,951324881950288",5,"9,473933562613318","0,4773913193369701","0,4773913193369701"
144587,Opel,Insignia,Diesel,Automatic,Used,8490,"160,0",2013,"9,046644279305394",9,"9,13688051258597","-0,09023623328057617","0,09023623328057617"
84376,Volkswagen,Tiguan,Gasoline,Manual,Used,8990,"150,0",2011,"9,103868127465667",11,"9,11949466152496","-0,015626534059293817","0,015626534059293817"
215334,Opel,Insignia,Diesel,Manual,Used,6880,"120,0",2016,"8,836373930927389",6,"8,966183528117524","-0,1298095971901354","0,1298095971901354"
23135,Ford,Mondeo,Diesel,Automatic,Employee's car,28490,"190,0",2020,"10,257308427491955",2,"10,40419188757133","-0,14688346007937447","0,14688346007937447"
25154,Volkswagen,Golf Variant,Diesel,Automatic,Used,22263,"150,0",2020,"10,010681386638243",2,"10,205849455595883","-0,19516806895764027","0,19516806895764027"
61770,Opel,Corsa,Gasoline,Manual,Used,9750,"90,0",2017,"9,185022563991893",5,"9,169079007327833","0,015943556664060665","0,015943556664060665"
165000,Volkswagen,Tiguan,Diesel,Automatic,Used,12450,"140,0",2014,"9,429475901892854",8,"9,196176949995264","0,23329895189758965","0,23329895189758965"
102000,Skoda,Citigo,Gasoline,Manual,Used,4800,"60,0",2017,"8,476371196895983",5,"8,739016072705596","-0,26264487580961315","0,26264487580961315"
63746,Ford,Kuga,Diesel,Automatic,Used,19990,"150,0",2017,"9,902987427494446",5,"9,955918171347868","-0,05293074385342145","0,05293074385342145"
118335,Skoda,Rapid/Spaceback,Diesel,Manual,Used,9880,"90,0",2018,"9,198267790741914",4,"9,055608286794552","0,14265950394736215","0,14265950394736215"
99450,Volkswagen,Polo,Diesel,Manual,Used,8449,"75,0",2016,"9,041803370152845",6,"8,95773322554482","0,08407014460802564","0,08407014460802564"
149000,Volkswagen,Golf,Diesel,Manual,Used,10890,"116,0",2017,"9,295600215927006",5,"9,158527423515286","0,1370727924117201","0,1370727924117201"
79000,Renault,Clio,Gasoline,Manual,Used,8299,"90,0",2016,"9,023890304598448",6,"9,039550826176319","-0,015660521577871123","0,015660521577871123"
108900,Skoda,Octavia,Diesel,Manual,Used,9999,"170,0",2012,"9,21024036697585",10,"9,349404691422688","-0,13916432444683835","0,13916432444683835"
83000,Volkswagen,Golf,Gasoline,Automatic,Used,12990,"116,0",2016,"9,471935109664646",6,"9,36865102291081","0,10328408675383471","0,10328408675383471"
139743,Ford,Focus,Diesel,Manual,Used,9980,"120,0",2018,"9,20833836930551",4,"9,240507792477544","-0,03216942317203397","0,03216942317203397"
47753,Ford,Focus,Diesel,Manual,Used,17890,"150,0",2018,"9,791997176502765",4,"9,97194269547643","-0,17994551897366584","0,17994551897366584"
76000,Volkswagen,up!,Gasoline,Manual,Used,5700,"60,0",2013,"8,648221453822641",9,"8,672245089919068","-0,02402363609642677","0,02402363609642677"
68000,Ford,Fiesta,Gasoline,Manual,Used,7100,"82,0",2014,"8,867850063029406",8,"8,866199491341339","0,0016505716880672594","0,0016505716880672594"
109700,Volkswagen,Passat,Diesel,Manual,Used,17250,"150,0",2015,"9,755567422459507",7,"9,465579596805641","0,28998782565386527","0,28998782565386527"
25000,Renault,Captur,Gasoline,Manual,Used,11200,"90,0",2019,"9,323669057283185",3,"9,338807479647732","-0,01513842236454721","0,01513842236454721"
11950,Skoda,Citigo,Gasoline,Manual,Used,6500,"60,0",2016,"8,779557455883728",6,"8,966149993469994","-0,18659253758626626","0,18659253758626626"
173053,Volkswagen,Golf Variant,Diesel,Automatic,Used,9999,"116,0",2017,"9,21024036697585",5,"9,279205396780663","-0,06896502980481323","0,06896502980481323"
94777,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,9999,"90,0",2015,"9,21024036697585",7,"8,931955923285821","0,278284443690028","0,278284443690028"
5000,Ford,Kuga,Electric/Gasoline,Automatic,Used,34490,"224,0",2020,"10,448424705930886",2,"10,435058988979122","0,013365716951764028","0,013365716951764028"
52938,Opel,Karl,Gasoline,Manual,Used,8750,"75,0",2018,"9,07680897935166",4,"9,142369681178478","-0,06556070182681673","0,06556070182681673"
145000,Volkswagen,Golf,Diesel,Manual,Used,6600,"105,0",2013,"8,794824928014517",9,"8,947316884919287","-0,15249195690477002","0,15249195690477002"
6805,Ford,Mondeo,Gasoline,Automatic,Demonstration,33880,"140,0",2020,"10,43058014876599",2,"10,05435430147156","0,37622584729443","0,37622584729443"
68310,Volkswagen,Golf Sportsvan,Gasoline,Automatic,Used,15840,"125,0",2015,"9,670293665368417",7,"9,465521024732368","0,20477264063604927","0,20477264063604927"
73600,Skoda,Fabia,Gasoline,Manual,Used,9199,"90,0",2016,"9,126850061477157",6,"9,057189152242183","0,06966090923497426","0,06966090923497426"
214000,Volkswagen,Caddy,Diesel,Manual,Used,8999,"110,0",2011,"9,104868739033948",11,"8,637184957522996","0,4676837815109529","0,4676837815109529"
52432,Volkswagen,Passat,Gasoline,Manual,Used,13900,"122,0",2012,"9,539644119118783",10,"9,205377250885972","0,3342668682328114","0,3342668682328114"
188900,Volkswagen,Golf,Diesel,Manual,Used,8900,"110,0",2015,"9,093806555720231",7,"8,872452200558891","0,22135435516134017","0,22135435516134017"
139924,Ford,Focus,Gasoline,Manual,Used,8290,"150,0",2015,"9,022805248129341",7,"9,20734928572873","-0,1845440375993892","0,1845440375993892"
19878,Skoda,Citigo,Gasoline,Manual,Used,9111,"60,0",2018,"9,117237753713859",4,"9,053835569476126","0,06340218423773258","0,06340218423773258"
53043,Renault,Clio,Gasoline,Manual,Used,9920,"90,0",2019,"9,20230820027892",3,"9,247894758876969","-0,04558655859804972","0,04558655859804972"
68131,Volkswagen,up!,Gasoline,Manual,Used,7666,"60,0",2016,"8,9445502459405",6,"8,822482501230406","0,12206774471009396","0,12206774471009396"
66620,Ford,Fiesta,Gasoline,Manual,Used,7980,"101,0",2013,"8,984693690443855",9,"8,907917449865682","0,07677624057817312","0,07677624057817312"
67000,Opel,Adam,Gasoline,Manual,Used,8500,"90,0",2016,"9,047821442478408",6,"9,075532247594502","-0,027710805116093695","0,027710805116093695"
11990,Opel,Ampera,Electric,Automatic,Used,25899,"204,0",2018,"10,161959636903632",4,"10,335810875065391","-0,17385123816175962","0,17385123816175962"
170000,Opel,Zafira Tourer,Diesel,Manual,Used,7150,"136,0",2014,"8,874867635688053",8,"8,969760304123074","-0,09489266843502087","0,09489266843502087"
4500,Renault,Clio,Gasoline,Manual,Demonstration,14690,"72,0",2021,"9,594922269167922",1,"9,471372099175193","0,12355016999272905","0,12355016999272905"
8560,Ford,Focus,Gasoline,Automatic,Used,24990,"182,0",2020,"10,126231023828998",2,"10,19789738511572","-0,07166636128672188","0,07166636128672188"
98870,Volkswagen,Passat,Diesel,Automatic,Used,14660,"177,0",2014,"9,592877975440642",8,"9,60515024303782","-0,012272267597177589","0,012272267597177589"
130000,Opel,Astra,Gasoline,Manual,Used,5799,"140,0",2011,"8,66544076787644",11,"8,779310724066299","-0,11386995618985907","0,11386995618985907"
78950,Ford,Mondeo,Gasoline,Manual,Used,14390,"160,0",2016,"9,574288799881414",6,"9,605599448731779","-0,03131064885036494","0,03131064885036494"
116000,Volkswagen,Golf,Diesel,Manual,Used,6990,"105,0",2011,"8,852235835227855",11,"8,901500283526154","-0,0492644482982989","0,0492644482982989"
22100,Opel,Corsa,Gasoline,Manual,Used,7800,"90,0",2016,"8,961879012677683",6,"9,201294491005623","-0,23941547832794008","0,23941547832794008"
39996,Volkswagen,Passat Variant,Diesel,Automatic,Used,23875,"150,0",2019,"10,08058716534893",3,"10,132119541685062","-0,051532376336131946","0,051532376336131946"
47078,Skoda,Fabia,Gasoline,Manual,Used,8990,"60,0",2016,"9,103868127465667",6,"8,881193774736483","0,22267435272918412","0,22267435272918412"
14273,Volkswagen,Touran,Gasoline,Manual,Employee's car,24959,"150,0",2020,"10,124989757578213",2,"10,072136586797663","0,05285317078054952","0,05285317078054952"
18946,Opel,Adam,Gasoline,Manual,Used,9590,"69,0",2018,"9,168476167877484",4,"9,125578874649413","0,04289729322807112","0,04289729322807112"
39200,Skoda,Fabia,Diesel,Manual,Used,11760,"90,0",2018,"9,372459221452617",4,"9,289360595875166","0,08309862557745085","0,08309862557745085"
44102,Volkswagen,Polo,Gasoline,Manual,Used,9090,"90,0",2015,"9,114930187171524",7,"9,06684633482837","0,048083852343154376","0,048083852343154376"
17965,Volkswagen,Golf,Gasoline,Automatic,Used,31574,"245,0",2019,"10,360089276091673",3,"10,353103175414612","0,006986100677060847","0,006986100677060847"
120800,Renault,Scenic,Gasoline,Manual,Used,5650,"131,0",2011,"8,639410824140487",11,"8,668694807478579","-0,029283983338091346","0,029283983338091346"
22201,Volkswagen,Golf,Diesel,Automatic,Used,14890,"110,0",2015,"9,608445125678054",7,"9,534523019076252","0,07392210660180254","0,07392210660180254"
10180,Renault,Captur,Gasoline,Automatic,Used,19990,"131,0",2020,"9,902987427494446",2,"9,973888331103431","-0,07090090360898493","0,07090090360898493"
131770,Opel,Zafira,Diesel,Manual,Used,6900,"110,0",2013,"8,83927669058535",9,"8,888954662861364","-0,04967797227601345","0,04967797227601345"
33000,Volkswagen,Polo,Gasoline,Manual,Used,8900,"60,0",2016,"9,093806555720231",6,"8,904268530777399","0,18953802494283245","0,18953802494283245"
61400,Opel,Mokka X,Gasoline,Manual,Used,15450,"140,0",2017,"9,645364282325891",5,"9,52036788280061","0,12499639952528163","0,12499639952528163"
76109,Volkswagen,up!,Gasoline,Manual,Used,6680,"60,0",2016,"8,806873266530692",6,"8,808606317811039","-0,0017330512803468423","0,0017330512803468423"
